layer,strip,end,multiplier,low,upper
13,11,0,13,100,1100
14,0,0,24,220,1100
14,1,0,20,220,1180
14,2,0,23,260,1220
14,3,0,16,10,2000
14,4,0,15,340,1180
14,5,0,16,200,1560
14,6,0,15,300,1100
14,7,0,16,180,1180
14,8,0,16,180,1180
14,9,0,15,140,1140
14,10,0,15,140,1140
14,11,0,15,140,1180
15,0,0,15,10,2000
15,1,0,16,140,1260
15,2,0,16,340,1180
15,3,0,15,300,1220
15,4,0,16,140,1500
15,5,0,16,380,1260
15,6,0,15,380,1340
15,7,0,15,380,1180
15,8,0,14,140,1220
15,9,0,16,140,1180
15,10,0,10,160,1580
15,11,0,16,140,1220
16,0,0,14,10,2000
16,1,0,18,220,1100
16,2,0,17,340,1100
16,3,0,18,260,980
16,4,0,16,100,1800
16,5,0,14,340,1060
16,6,0,10,300,1020
16,7,0,17,380,1300
16,8,0,18,180,1380
16,9,0,18,300,1300
16,10,0,20,240,1680
16,11,0,18,140,1400
17,0,0,18,140,1060
17,1,0,15,340,1020
17,2,0,18,180,1060
17,3,0,15,140,1300
17,4,0,15,140,1320
17,5,0,15,420,1180
17,6,0,15,380,1140
17,7,0,12,100,1500
17,8,0,18,180,1140
17,9,0,18,140,1300
17,10,0,15,100,1060
17,11,0,15,140,1060
18,0,0,9,60,980
18,1,0,10,100,1300
18,2,0,12,200,1360
18,3,0,20,180,1360
18,4,0,10,300,1060
18,5,0,10,300,1020
18,6,0,10,340,1100
18,7,0,10,260,1140
18,8,0,10,300,1060
18,9,0,20,10,1800
18,10,0,20,260,1020
18,11,0,10,60,1140
19,0,0,10,260,980
19,1,0,20,180,940
19,3,0,20,200,1240
19,4,0,18,300,1060
19,5,0,6,340,1100
19,6,0,6,260,1060
19,7,0,10,140,1700
19,8,0,20,100,1960
19,9,0,18,340,1180
19,10,0,10,340,900
19,11,0,12,100,1340
12,0,1,13,140,1560
12,1,1,8,60,1140
12,2,1,8,60,1420
12,3,1,10,100,1500
12,4,1,17,340,1140
12,5,1,12,100,1520
12,6,1,10,300,1140
12,7,1,10,140,1180
12,8,1,10,100,1260
12,9,1,10,100,1100
12,10,1,10,100,1220
12,11,1,16,140,1100
13,0,1,10,100,1220
13,1,1,23,300,1140
13,2,1,18,220,1600
13,3,1,10,140,1420
13,4,1,23,340,1180
13,5,1,10,380,1260
13,6,1,23,340,1260
13,7,1,10,100,1620
13,8,1,10,60,1500
13,9,1,10,60,1500
13,10,1,15,140,1300
13,11,1,11,10,2000
14,0,1,11,60,1140
14,1,1,20,180,1060
14,2,1,10,100,1060
14,3,1,8,60,1180
14,4,1,20,260,980
14,5,1,18,300,1140
14,6,1,8,200,1500
14,7,1,20,220,1100
14,8,1,10,300,940
14,9,1,19,180,780
14,10,1,20,340,1060
14,11,1,18,140,900
15,0,1,10,300,1140
15,1,1,16,340,1140
15,2,1,10,300,1300
15,3,1,8,340,1400
15,4,1,10,200,1460
15,5,1,17,340,1260
15,6,1,13,340,1300
15,7,1,20,220,1260
15,8,1,10,100,1260
15,9,1,10,60,1380
15,10,1,21,180,1300
15,11,1,10,60,1360
