layer,strip,end,multiplier,mpv,eta,sigma,A,chi_square
6,0,0,10,735.6770907883567,42.47771723794809,165.34770419505776,626.8994543284751,412.2820404909381
6,1,0,23,733.9824241674283,57.68230806455904,142.8723802621924,954.4554977192686,328.3419726932905
6,2,0,22,657.3445394516508,51.89917156797722,101.34503947231717,3033.5562997934276,215.33035219053647
6,3,0,19,817.6473710874153,62.75152674282164,128.64781685879305,3061.513483425363,569.2984010283092
6,4,0,23,630.7219590905329,68.65794712686477,71.21223325214036,2991.9985276982725,537.1234610191154
6,5,0,27,669.0822076984014,62.550895628937816,113.6976957429899,1545.6771210472718,228.53667476262285
6,6,0,19,693.5682179322966,53.83818071948673,149.7659516199954,521.2806333377962,229.45866618909187
6,7,0,19,685.3430767144112,33.4643837030368,162.69801111390746,381.379443275532,195.18377095606385
7,0,0,12,567.0800098252931,44.781825134774344,136.05520985492367,721.9369555400357,91.71989489874157
7,1,0,9,502.7368742080269,50.38350430060086,128.50460218978557,1377.6524581613803,325.64138569537715
7,2,0,15,603.2392729582376,46.12698221317128,121.58504626767865,3189.3524903525595,430.04445225331517
7,3,0,13,566.836188237795,44.26394496385048,121.49607058894613,3963.1674680387814,351.6188138810372
7,4,0,10,511.20538143156676,63.417928738798196,107.22106485269697,2483.2300034769237,444.0486660225511
7,5,0,10,549.3043495925908,42.23111716915342,150.1673740196559,1005.5158681662691,265.2902517951774
7,6,0,10,591.394448184417,55.06888370942411,116.4744162637079,490.8895455714686,125.93623871924194
7,7,0,14,460.64765762026553,75.81833168068037,99.09704693325362,279.9066589144946,62.44103134789429
8,0,0,14,626.1712782532976,42.434657882472585,143.95291991892958,692.3961498967324,234.8765836362019
8,1,0,12,594.8416695228483,64.17360925538208,125.95020056060633,1002.6053819372945,370.9691244179434
8,2,0,20,708.3846109249884,59.31830419493018,115.10488845570711,2668.8028230884825,470.5713900450064
8,3,0,14,622.8056187633634,68.16524413977471,123.86999621508065,3045.0357292441627,630.1819777479378
8,4,0,10,526.1357570321309,59.7091850289077,117.1300814721021,2598.148134021011,209.33651678140583
8,5,0,12,587.1235947925138,56.80774235317129,134.44748267739232,1451.321783443621,302.63118303017603
8,6,0,10,726.163747338229,50.51696940528382,150.9144583137837,516.3703152952244,444.54757567387526
8,7,0,15,696.097355027537,61.194236138307005,115.02729116943719,391.047625998162,219.49235577076558
9,0,0,15,564.2040746177137,62.55958967700694,13.905378927417141,1170.999204667585,1201.2031165411654
9,1,0,15,617.6674509961013,43.713745986166245,117.65285497208195,1443.5520034351014,407.7202554346718
9,2,0,15,612.9447142751561,46.765432612117856,104.56451974651084,3339.1998660380473,252.06581320724612
9,3,0,14,626.2020780906144,45.78353800071958,107.66440550579263,4110.46348883963,665.149596613924
