layer,strip,end,pedestal,std_dev,pedestal_per_time_sample,new_range,new_range2,new_range3
4,1,1,802.9409643898111,17.732641958623088,101,963.5291572677734,891.6041741829266,980.2673839760421
4,2,0,847.2580330263197,18.227905825803,107,1016.7096396315836,938.3975621553348,1029.5370912843496
4,2,1,802.4246619230339,16.200471727730083,101,962.9095943076406,883.4270205616843,964.4293792003348
4,3,0,796.3935031957296,18.047362540923807,101,955.6722038348756,886.6303159003487,976.8671286049678
4,3,1,780.9108139553166,18.26902141352199,99,937.09297674638,872.2559210229265,963.6010280905365
4,4,0,804.5431160006472,18.7036658090916,101,965.4517392007764,898.0614450461052,991.5797740915632
4,4,1,753.2050458108446,15.81588650115286,95,903.8460549730136,832.2844783166089,911.3639108223732
4,5,0,763.3401905287864,17.981151870476946,95,916.0082286345436,853.2459498811711,943.1517092335558
4,5,1,746.8248466882694,17.687530331706714,95,896.1898160259233,835.262498346803,923.7001500053366
4,6,0,765.5463680962177,16.62276306055092,95,918.6556417154612,848.6601833989723,931.7739987017269
4,6,1,770.5261565803809,15.502025991108573,95,924.631387896457,848.0362865359238,925.5464164914666
4,7,0,820.6928717293431,17.012899049655516,103,984.8314460752116,905.7573669776207,990.8218622258983
4,7,1,742.7683000352182,15.34439178496661,93,891.3219600422618,819.4902589600513,896.2122178848842
5,0,0,827.4059424630641,11.100331897107004,103,992.8871309556768,882.9076019485991,938.4092614341341
5,0,1,779.2384895639972,11.796395155367057,95,935.0861874767966,838.2204653408324,897.2024411176677
5,1,0,704.2213707792678,11.9252605571091,87,845.0656449351213,763.8476735648132,823.4739763503587
5,1,1,857.433702657687,13.605744202556334,107,1028.9204431892244,925.4624236704688,993.4911446832504
5,2,0,745.5426993617945,12.697216943061088,95,894.6512392341533,809.0287840770999,872.5148687924053
5,2,1,800.7931995972426,14.190680186152518,101,960.951839516691,871.7466005280052,942.7000014587678
5,3,0,754.866635462463,11.080497263080009,95,905.8399625549556,810.2691217778631,865.6716080932631
5,3,1,803.4933426945162,14.0484675224261,101,964.1920112334194,873.7356803066467,943.9780179187771
5,4,0,842.4727387490659,12.04371305621094,105,1010.967286498879,902.6913040301206,962.9098693111753
5,4,1,738.931590135746,10.634176326493618,93,886.7179081628951,792.1024717682141,845.2733534006821
5,5,0,835.1400571222301,12.802000036273784,105,1002.168068546676,899.150057303599,963.160057484968
5,5,1,736.7956859864221,11.74805775489502,93,884.1548231837065,795.5359747608971,854.2762635353723
5,6,0,821.5659793176048,12.90199929456993,103,985.8791751811258,886.0759757904545,950.5859722633041
5,6,1,761.6081039244096,11.3666629261888,95,913.9297247092916,818.4414185553536,875.2747331862977
5,7,0,722.4748965576078,10.400475680091738,91,866.9698758691294,774.4772749580666,826.4796533585252
5,7,1,712.6900693488037,10.89890048322731,89,855.2280832185644,767.1845717649403,821.6790741810768
6,0,0,863.3151577057604,12.501946890538388,109,1035.9781892469125,925.8248921584524,988.3346266111442
6,0,1,797.10523709298,12.136636716264867,101,956.526284511576,857.7884206743043,918.4716042556287
6,1,0,732.5122149160644,12.003497846109628,91,879.0146578992773,792.5297041466125,852.5471933771607
6,1,1,767.9527884105389,11.646851139565396,95,921.5433460926466,826.1870441083659,884.4212998061929
6,2,0,816.3687646206973,11.849240693981637,103,979.6425175448368,875.6149680906055,934.8611715605136
6,2,1,810.193709851101,12.174341355646002,101,972.2324518213212,871.0654166293309,931.937123407561
6,3,0,769.428594001833,13.836636666531575,95,923.3143128021997,838.6117773344909,907.7949606671486
6,3,1,749.794795016236,12.716930629970582,95,899.7537540194832,813.3794481660889,876.9641013159418
6,4,0,769.3069753788574,12.44219665435346,95,923.1683704546288,831.5179586506247,893.728941922392
6,4,1,844.8437456426815,14.27294952921387,105,1013.8124947712178,916.2084932887508,987.5732409348202
6,5,0,819.1057954233625,12.17263615121646,103,982.9269545080348,879.9689761794448,940.8321569355271
6,5,1,730.6475241958154,11.26482736738756,91,876.7770290349785,786.9716610327532,843.295797869691
6,6,0,815.1967050549664,12.53936921949932,103,978.2360460659596,877.893551152463,940.5903972499596
6,6,1,867.2130728656515,10.916595588282243,109,1040.6556874387818,921.7960508070627,976.379028748474
6,7,0,748.3172156250379,10.687414401818272,95,897.9806587500454,801.7542876341292,855.1913596432206
6,7,1,768.141353556384,9.76431013100004,95,921.7696242676608,816.9629042113843,865.7844548663844
7,0,0,789.894618957236,11.795029033528031,99,947.8735427486832,848.8697641248762,907.8449092925164
7,0,1,797.8943052197064,13.503403414337878,99,957.4731662636476,865.4113222913959,932.9283393630852
7,1,0,746.5817871532322,13.85102900694018,93,895.8981445838787,815.8369321879331,885.092077222634
7,1,1,720.5856636622756,14.832384401883488,91,864.7027963947306,794.7475856716931,868.9095076811104
7,2,0,736.7663291953817,15.85923784793557,91,884.119595034458,816.0625184350595,895.3587076747374
7,2,1,775.9351064706279,15.665089031404332,95,931.1221277647536,854.2605516276496,932.5859967846712
7,3,0,805.2622837425904,14.318139551935406,101,966.3147404911084,876.8529815022674,948.4436792619445
